"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4071,"0603430F","Advanced EHF MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,2013,229171,229171,211632,,,0,0,
4073,"0603739E","Advanced Electronics Technologies",3,"Advanced Technology Development",400,,2013,111008,111008,92291,,,0,0,
4076,"0604764K","Advanced IT Services Joint Program Office (AITS-JPO)",5,"System Development And Demonstration",400,,2013,25787,25787,25361,,,0,0,
4077,"0603112F","Advanced Materials for Weapon Systems",3,"Advanced Technology Development",3600,,2013,47890,47890,54334,,,0,0,
4078,"0207163F","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",3600,,2013,87041,87041,68656,,,0,0,
4079,"0207163N","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",1319,,2013,2857,2857,2669,,,0,0,
4080,"0603570N","Advanced Nuclear Power Systems",4,"Advanced Component Development & Prototypes",1319,,2013,249748,249748,228861,,,0,0,
4084,"0603714D8Z","Advanced Sensors Application Program",4,"Advanced Component Development And Prototypes",400,,2013,16958,16958,17407,,,0,0,
4087,"0603401F","Advanced Spacecraft Technology",3,"Advanced Technology Development",3600,,2013,64557,64557,57612,,,0,0,
4090,"0603561N","Advanced Submarine System Development",4,"Advanced Component Development & Prototypes",1319,,2013,555123,555123,500161,,,0,0,
4091,"0603573N","Advanced Surface Machinery Systems",4,"Advanced Component Development & Prototypes",1319,,2013,29897,29897,26642,,,0,0,
4092,"0603772A","Advanced Tactical Computer Science and Sensor Technology",3,"Advanced Technology Development",2040,,2013,25226,25226,22900,,,0,0,
4093,"0603653A","Advanced Tank Armament System (ATAS)",4,"Advanced Component Development & Prototypes",2040,,2013,14347,14347,11116,,,0,0,
4095,"0603605F","Advanced Weapons Technology",3,"Advanced Technology Development",3600,,2013,19004,19004,16994,,,0,0,
4096,"0602307A","Advanced Weapons Technology",2,"Applied Research",2040,,2013,25999,25999,23140,,,0,0,
4098,"0603892C","AEGIS BMD",4,"Advanced Component Development And Prototypes",400,,2013,992407,992407,958506,,,0,0,
4102,"0305116F","Aerial Targets",7,"Operational Systems Development",3600,,2013,50496,50496,41040,,,0,0,
4105,"0602201F","Aerospace Vehicle Technologies",2,"Applied Research",3600,,2013,120719,120719,108536,,,0,0,
4107,"0207410F","Air & Space Operations Center (AOC)",7,"Operational Systems Development",3600,,2013,76315,76315,70925,,,0,0,
4108,"0602203F","Aerospace Propulsion",2,"Applied Research",3600,,2013,232547,232547,209315,,,0,0,
4109,"0603216F","Aerospace Propulsion and Power Technology",3,"Advanced Technology Development",3600,,2013,151152,151152,146776,,,0,0,
4111,"0602204F","Aerospace Sensors",2,"Applied Research",3600,,2013,127637,127637,115568,,,0,0,
4112,"0603211F","Aerospace Technology Dev/Demo",3,"Advanced Technology Development",3600,,2013,81376,81376,72462,,,0,0,
4113,"0102419A","Aerostat Joint Project - EMD",7,"Operational Systems Development",2040,,2013,190422,190422,142508,,,0,0,
4114,"0207247F","AF TENCAP",7,"Operational Systems Development",3600,,2013,63853,63853,58514,,,0,0,
4117,"0604617F","Agile Combat Support",5,"System Development & Demonstration",3600,,2013,13059,13059,21145,,,0,0,
4123,"0604504N","Air Control",5,"System Development & Demonstration",1319,,2013,5633,5633,5231,,,0,0,
4124,"0604264N","Air Crew Systems Development",5,"System Development & Demonstration",1319,,2013,2717,2717,2437,,,0,0,
4125,"0604741A","Air Defense Command, Control and Intelligence - Eng Dev",5,"System Development & Demonstration",2040,,2013,73333,73333,42876,,,0,0,
4131,"0604633A","Air Traffic Control",5,"System Development & Demonstration",2040,,2013,9769,9769,10140,,,0,0,
4132,"0305114F","Air Traffic Control, Approach, and Landing System (ATCALS)",7,"Operational Systems Development",3600,,2013,43187,43187,36427,,,0,0,
4133,"0604218N","Air/Ocean Equipment Engineering",5,"System Development & Demonstration",1319,,2013,4060,4060,3658,,,0,0,
4134,"0603207N","Air/Ocean Tactical Applications",4,"Advanced Component Development & Prototypes",1319,,2013,34085,34085,31357,,,0,0,
4135,"0604429F","Airborne Electronic Attack",5,"System Development & Demonstration",3600,,2013,4118,4118,3987,,,0,0,
4137,"0604373N","Airborne MCM",5,"System Development & Demonstration",1319,,2013,73246,73246,60424,,,0,0,
4139,"0305206F","Airborne Reconnaissance Systems",7,"Operational Systems Development",3600,,2013,96735,96735,88199,,,0,0,
4143,"0304260F","Airborne SIGINT Enterprise",7,"Operational Systems Development",3600,,2013,129106,129106,105737,,,0,0,
4144,"0207417F","Airborne Warning and Control System (AWACS)",7,"Operational Systems Development",3600,,2013,65200,65200,47171,,,0,0,
4145,"0604201A","Aircraft Avionics",5,"System Development & Demonstration",2040,,2013,78538,78538,60472,,,0,0,
4146,"0605606A","Aircraft Certification",6,"RDT&E Management Support",2040,,2013,5762,5762,5258,,,0,0,
4148,"0207268F","Aircraft Engine Component Improvement Program",7,"Operational Systems Development",3600,,2013,187984,187984,114802,,,0,0,
4149,"0203752A","Aircraft Engine Component Improvement Program",7,"Operational Systems Development",2040,,2013,898,898,804,,,0,0,
4150,"0203744A","Aircraft Modifications/Product Improvement Programs",7,"Operational Systems Development",2040,,2013,280247,280247,193404,,,0,0,
4152,"0101122F","Air-Launched Cruise Missile (ALCM)",7,"Operational Systems Development",3600,,2013,431,431,322,,,0,0,
4157,"0604321A","All Source Analysis System",5,"System Development & Demonstration",2040,,2013,5694,5694,5601,,,0,0,
4162,"0204413N","Amphibious Tactical Support Units (Displacement Craft)",7,"Operational Systems Development",1319,,2013,8435,8435,6091,,,0,0,
4165,"0605024F","Anti-Tamper Technology Executive Agency",7,"Operational Systems Development",3600,,2013,17037,17037,30413,,,0,0,
4167,"0604602F","Armament/Ordnance Development",5,"System Development & Demonstration",3600,,2013,9951,9951,8874,,,0,0,
4168,"0604220A","Armed, Deployable Helos",5,"System Development & Demonstration",2040,,2013,90494,90494,80934,,,0,0,
4172,"0605857A","Environmental Quality Technology Mgmt Support",6,"RDT&E Management Support",2040,,2013,4601,4601,4276,,,0,0,
4175,"0605716A","Army Evaluation Center",6,"RDT&E Management Support",2040,,2013,62765,62765,57037,,,0,0,
4176,"0605301A","Army Kwajalein Atoll",6,"RDT&E Management Support",2040,,2013,176816,176816,162089,,,0,0,
4177,"0603305A","Army Missle Defense Systems Integration",4,"Advanced Component Development & Prototypes",2040,,2013,14505,14505,22340,,,0,0,
4178,"0603308A","Army Space Systems Integration",4,"Advanced Component Development & Prototypes",2040,,2013,9876,9876,9038,,,0,0,
4179,"0604818A","Army Tactical Command & Control Hardware & Software",5,"System Development & Demonstration",2040,,2013,77223,77223,50279,,,0,0,
4180,"0605602A","Army Technical Test Instrumentation and Targets",6,"RDT&E Management Support",2040,,2013,69183,69183,61711,,,0,0,
4181,"0605601A","Army Test Ranges and Facilities",6,"RDT&E Management Support",2040,,2013,369900,369900,334087,,,0,0,
4183,"0604854A","Artillery Systems - EMD",5,"System Development & Demonstration",2040,,2013,167797,167797,149667,,,0,0,
4185,"0604942D8Z","Assessments and Evaluations",6,"Management Support",400,,2013,2419,2419,2145,,,0,0,
4186,"0603254N","ASW Systems Development",4,"Advanced Component Development & Prototypes",1319,,2013,8090,8090,7306,,,0,0,
4189,"0604746A","Automatic Test Equipment Development",5,"System Development & Demonstration",2040,,2013,10815,10815,10307,,,0,0,
4190,"0604214N","AV-8B Aircraft - Eng Dev",5,"System Development & Demonstration",1319,,2013,32789,32789,16128,,,0,0,
4191,"0603801A","Aviation - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2013,8602,8602,7227,,,0,0,
4193,"0603003A","Aviation Advanced Technology",3,"Advanced Technology Development",2040,,2013,64215,64215,57364,,,0,0,
4194,"1160422BB","Aviation Engineering Analysis",3,"Advanced Technology Development",400,,2013,861,861,635,,,0,0,
4195,"0205633N","Aviation Improvements",7,"Operational Systems Development",1319,,2013,89157,89157,71945,,,0,0,
4197,"0603216N","Aviation Survivability",4,"Advanced Component Development & Prototypes",1319,,2013,8783,8783,7970,,,0,0,
4198,"0602211A","Aviation Technology",2,"Applied Research",2040,,2013,51607,51607,46828,,,0,0,
4203,"0101126F","B-1B Squadrons",7,"Operational Systems Development",3600,,2013,16265,16265,13126,,,0,0,
4206,"0101127F","B-2 Squadrons",7,"Operational Systems Development",3600,,2013,35970,35970,29805,,,0,0,
4207,"0101113F","B-52 Squadrons",7,"Operational Systems Development",3600,,2013,53208,53208,17951,,,0,0,
4209,"0603896C","Ballistic Missile Defense Command and Control, Battle Management and Communicati",4,"Advanced Component Development And Prototypes",400,,2013,366552,366552,344431,,,0,0,
4212,"0603904C","Missile Defense Integration & Operations Center (MDIOC)",4,"Advanced Component Development And Prototypes",400,,2013,63043,63043,61684,,,0,0,
4213,"0603898C","Ballistic Missile Defense Joint Warfighter Support",4,"Advanced Component Development And Prototypes",400,,2013,55550,55550,47710,,,0,0,
4214,"0603882C","Ballistic Missile Defense Midcourse Defense Segment",4,"Advanced Component Development And Prototypes",400,,2013,903172,903172,923506,,,0,0,
4216,"0603884C","Ballistic Missile Defense Sensors",4,"Advanced Component Development And Prototypes",400,,2013,347012,347012,306896,,,0,0,
4219,"0603895C","Ballistic Missile Defense System Space Programs",4,"Advanced Component Development And Prototypes",400,,2013,6912,6912,5977,,,0,0,
4220,"0603890C","BMD Enabling Programs",4,"Advanced Component Development And Prototypes",400,,2013,362711,362711,336763,,,0,0,
4221,"0603175C","Ballistic Missile Defense Technology",3,"Advanced Technology Development",400,,2013,79975,79975,69438,,,0,0,
4222,"0603881C","Ballistic Missile Defense Terminal Defense Segment",4,"Advanced Component Development And Prototypes",400,,2013,316929,316929,267396,,,0,0,
4225,"0602618A","Ballistics Technology",2,"Applied Research",2040,,2013,60823,60823,55113,,,0,0,
4229,"0604283F","Battle Mgmt Com & Ctrl Sensor Development",4,"Advanced Component Development & Prototypes",3600,,2013,114417,114417,100507,,,0,0,
4231,"0603788F","Battlespace Knowledge Development and Demonstration",3,"Advanced Technology Development",3600,,2013,31419,31419,27994,,,0,0,
4232,"0602383E","Biological Warfare Defense",2,"Applied Research",400,,2013,19236,19236,15131,,,0,0,
4245,"0606100D8Z","Budget and Program Assessments",6,"Management Support",400,,2013,4454,4454,4221,,,0,0,
4248,"0401115F","C-130 Airlift Squadron",7,"Operational Systems Development",3600,,2013,5000,5000,14929,,,0,0,
4249,"0401132F","C-130J Program",7,"Operational Systems Development",3600,,2013,30652,30652,18322,,,0,0,
4250,"0401130F","C-17 Aircraft (IF)",7,"Operational Systems Development",3600,,2013,99225,99225,76569,,,0,0,
4251,"0207448F","C2ISR Tactical Data Link",7,"Operational Systems Development",3600,,2013,1633,1633,1447,,,0,0,
4253,"0208045K","C4I Interoperability",7,"Operational System Development",400,,2013,72574,72574,73218,,,0,0,
4258,"0401119F","C-5 Airlift Squadrons (IF)",7,"Operational Systems Development",3600,,2013,35115,35115,12220,,,0,0,
4261,"0603512N","Carrier Systems Development",4,"Advanced Component Development & Prototypes",1319,,2013,108871,108871,97668,,,0,0,
4262,"0605154N","Center for Naval Analyses",6,"Management Support",1319,,2013,46856,46856,41573,,,0,0,
4263,"0604940D8Z","Central Test and Evaluation Investment Development (CTEIP)",6,"Management Support",400,,2013,144109,144109,177520,,,0,0,
4267,"0605212N","CH-53K RDTE",5,"System Development & Demonstration",1319,,2013,606204,606204,535552,,,0,0,
4268,"0603734N","CHALK CORAL",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2013,45966,45966,41498,,,0,0,
4269,"0603576N","CHALK EAGLE",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2013,509988,509988,453935,,,0,0,
4270,"0607384BP","Chemical and Biological Defense (Operational Systems Development)",7,"Operational System Development",400,,2013,14745,14745,13810,,,0,0,
4271,"0605384BP","Chemical and Biological Defense Program",6,"Management Support",400,,2013,92849,92849,89100,,,0,0,
4272,"0601384BP","Chemical and Biological Defense Program",1,"Basic Research",400,,2013,50566,50566,45613,,,0,0,
4273,"0602384BP","Chemical and Biological Defense Program",2,"Applied Research",400,,2013,223269,223269,202700,,,0,0,
4274,"0603384BP","Chemical and Biological Defense Program - Advanced Development",3,"Advanced Technology Development",400,,2013,234280,234280,214226,,,0,0,
4275,"0603884BP","Chemical and Biological Defense Program - Dem/Val",4,"Advanced Component Development And Prototypes",400,,2013,179023,179023,163464,,,0,0,
4276,"0604384BP","Chemical and Biological Defense Program - EMD",5,"System Development And Demonstration",400,,2013,311071,311071,268360,,,0,0,
4277,"0602622A","Chemical, Smoke and Equipment Defeating Technology",2,"Applied Research",2040,,2013,4465,4465,4010,,,0,0,
4279,"0901218F","Civilian Compensation Program",7,"Operational Systems Development",3600,,2013,1561,1561,2564,,,0,0,
4280,"0603765E","Classified DARPA Programs",3,"Advanced Technology Development",400,"Classified (Named)",2013,3000,3000,2760,,,0,0,
4282,"0605128D8Z","Classified Program USD(P)",6,"Management Support",400,"Classified (Named)",2013,0,0,89695,,,0,0,
4293,"0603923D8Z","Coalition Warfare",4,"Advanced Component Development And Prototypes",400,,2013,11398,11398,10559,,,0,0,
4295,"0305149N","COBRA JUDY",7,"Operational Systems Development",1319,"Classified (Named)",2013,17091,17091,14460,,,0,0,
4297,"0804767D8Z","COCOM Exercise Engagement and Training Transformation (CE2T2) - MHA",6,"Management Support",400,,2013,77475,77475,56325,,,0,0,
4298,"0602304E","Cognitive Computing Systems",2,"Applied Research",400,,2013,30424,30424,27538,,,0,0,
4301,"0207431F","Combat Air Intelligence System Activities",7,"Operational Systems Development",3600,,2013,5756,5756,5275,,,0,0,
4302,"0604713A","Combat Feeding, Clothing, and Equipment",5,"System Development & Demonstration",2040,,2013,2132,2132,1901,,,0,0,
4304,"0603742F","Combat Identification Technology",4,"Advanced Component Development & Prototypes",3600,,2013,32243,32243,25987,,,0,0,
4305,"0604518N","Combat Information Center Conversion",5,"System Development & Demonstration",1319,,2013,918,918,817,,,0,0,
4307,"0207227F","Combat Rescue - Pararescue",7,"Operational Systems Development",3600,,2013,1119,1119,992,,,0,0,
4308,"0207224F","Combat Rescue and Recovery",7,"Operational Systems Development",3600,,2013,2095,2095,1910,,,0,0,
4309,"0603805A","Combat Service Support Control System Evaluation and Analysis",4,"Advanced Component Development & Prototypes",2040,,2013,5054,5054,4499,,,0,0,
4311,"0603582N","Combat System Integration",4,"Advanced Component Development & Prototypes",1319,,2013,56551,56551,45131,,,0,0,
4312,"0604735F","Combat Training Ranges",5,"System Development & Demonstration",3600,,2013,9222,9222,9209,,,0,0,
4313,"0603005A","Combat Vehicle and Automotive Advanced Technology",3,"Advanced Technology Development",2040,,2013,104359,104359,128463,,,0,0,
4314,"0602601A","Combat Vehicle and Automotive Technology",2,"Applied Research",2040,,2013,69062,69062,62267,,,0,0,
4315,"0203735A","Combat Vehicle Improvement Programs",7,"Operational Systems Development",2040,,2013,253959,253959,189396,,,0,0,
4317,"0603122D8Z","Combating Terrorism Technology Support",3,"Advanced Technology Development",400,,2013,77144,77144,108245,,,0,0,
4318,"0603125A","Combating Terrorism - Technology Development",3,"Advanced Technology Development",2040,,2013,9716,9716,9199,,,0,0,
4320,"0604780A","Combined Arms Tactical Trainer (CATT) Core",5,"System Development & Demonstration",2040,,2013,17797,17797,16005,,,0,0,
4324,"0603760E","Command, Control and Communications Systems",3,"Advanced Technology Development",400,,2013,237859,237859,189909,,,0,0,
4326,"0603006A","Space Application Advanced Technology",3,"Advanced Technology Development",2040,,2013,4157,4157,3702,,,0,0,
4327,"0604805A","Command, Control, Communications Systems - Eng Dev",5,"System Development & Demonstration",2040,,2013,20776,20776,18543,,,0,0,
4328,"0602782A","Command, Control, Communications Technology",2,"Applied Research",2040,,2013,28852,28852,26200,,,0,0,
4338,"0602235N","Common Picture Applied Research",2,"Applied Research",1319,,2013,41696,41696,37643,,,0,0,
4339,"0604234N","Advanced Hawkeye",5,"System Development & Demonstration",1319,,2013,119065,119065,125194,,,0,0,
4344,"0207253F","Compass Call",7,"Operational Systems Development",3600,,2013,12094,12094,10733,,,0,0,
4345,"0602783A","Computer and Software Technology",2,"Applied Research",2040,,2013,9830,9830,8886,,,0,0,
4348,"0605326A","Concepts Experimentation Program",6,"RDT&E Management Support",2040,,2013,27902,27902,24720,,,0,0,
