"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4853,"0603007A","Manpower, Personnel and Training Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4854,"0602785A","Manpower/Personnel/Training Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4855,"0603680F","Manufacturing Technology Program",3,"Advanced Technology Development",3600,,2011,"CR.OCO",,,,,0,,,,
4856,"0603640M","USMC Advanced Technology Demonstration (ATD)",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
4857,"0603611M","Marine Corps Assault Vehicles",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4858,"0206624M","Marine Corps Combat Services Support",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4859,"0206313M","Marine Corps Communications Systems",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4860,"0603635M","Marine Corps Ground Combat/Support System",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4861,"0206623M","Marine Corps Ground Combat/Supporting Arms Systems",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4862,"0602131M","Marine Corps Landing Force Technology",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
4865,"0605873M","Marine Corps Program Wide Support",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
4868,"0708730N","Maritime Technology (MARITECH)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4869,"0602102F","Materials",2,"Applied Research",3600,,2011,"CR.OCO",,,,,0,,,,
4871,"0602715E","Materials and Biological Technology",2,"Applied Research",400,,2011,"CR.OCO",,,,,0,,,,
4874,"0602105A","Materials Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4875,"0602234N","Materials, Electronics and Computer Technology",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
4876,"0605706A","Materiel Systems Analysis",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4877,"0603444F","Maui Space Surveillance System (MSSS)",3,"Advanced Technology Development",3600,,2011,"CR.OCO",,,,,0,,,,
4878,"1160429BB","AC/MC-130J",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4879,"0207449F","Command and Control (C2) Constellation",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4882,"0603002A","Medical Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4884,"0604757N","Ship Self Defense (Engage: Soft Kill/EW)",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4885,"0604771N","Medical Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,495,,,,
4889,"0604807A","Medical Materiel/Medical Biological Defense Equipment - Eng Dev",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4890,"0603807A","Medical Systems - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4891,"0602787A","Medical Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4894,"0604604A","Medium Tactical Vehicles",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4895,"0605702A","Meteorological Support to RDT&E Activities",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4896,"0603720S","Microelectronics Technology Development and Support",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4898,"0603734A","Military Engineering Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4899,"0602784A","Military Engineering Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4900,"0603105A","Military HIV Research",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4901,"0303601F","MILSATCOM Terminals",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4903,"0603782N","Mine and Expeditionary Warfare Advanced Technology",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
4904,"0602782N","Mine and Expeditionary Warfare Applied Research",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
4906,"0604601N","Mine Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4907,"0303131F","Minimum Essential Emergency Communications Network (MEECN)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4908,"0303131K","Minimum Essential Emergency Communications Network (MEECN)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4910,"0603313A","Missile and Rocket Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4912,"0602303A","Missile Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4913,"0203801A","Missile/Air Defense Product Improvement Program",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4914,"0208006F","Mission Planning Systems",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,3153,,,,
4915,"1160427BB","Mission Training and Preparation Systems (MTPS)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4916,"0205632N","MK-48 ADCAP",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4917,"0603778A","MLRS Product Improvement Program",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
4920,"0308601N","Modeling and Simulation Support",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4921,"0602308A","Advanced Concepts and Simulation",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4924,"0305219BB","MQ-1 Predator A UAV",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4925,"0305231N","MQ-8 UAV",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4926,"1105219BB","MQ-9 UAV",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4927,"0205219F","MQ-9 UAV",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4930,"0604216N","Multi-Mission Helicopter Upgrade Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4931,"0605500N","Multi-mission Maritime Aircraft (MMA)",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4933,"0207040F","Multi-Platform Electronic Warfare Equipment",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4937,"0605805A","Munitions Standardization, Effectiveness and Safety",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
4939,"0307141F","Information Operations Technology Integration & Tool Development",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4942,"0601120D8Z","National Defense Education Program",1,"Basic Research",400,,2011,"CR.OCO",,,,,0,,,,
4944,"0302016K","National Military Command System-Wide Support",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4947,"0305178F","National Polar-Orbiting Operational Environmental Satellite System (NPOESS)",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4949,"0305924F","National Security Space Office",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4951,"1001018D8Z","NATO AGS",7,"Operational Systems Development",400,,2011,"CR.OCO",,,,,0,,,,
4953,"0603790A","NATO Research and Development",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4954,"0603790N","NATO Research and Development",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4956,"0603790F","NATO Research and Development",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4957,"0604378N","Naval Integrated Fire Control - Counter Air Systems Engineering",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4959,"0604777N","Navigation/ID System",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4960,"0305165F","NAVSTAR Global Positioning System (Space and Control Segments)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4961,"0305164F","NAVSTAR Global Positioning System (User Equipment) (SPACE)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
4966,"0603724N","Navy Energy Program",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4967,"0603739N","Navy Logistic Productivity",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4968,"0305160N","Navy Meteorological and Ocean Sensors-Space (METOC)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4969,"0205658N","Navy Science Assistance Program",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4971,"0605866N","Navy Space and Electronic Warfare (SEW) Support",6,"Management Support",1319,,2011,"CR.OCO",,,,,8578,,,,
4973,"0101402N","Navy Strategic Communications",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
4974,"0604574N","Navy Tactical Computer Resources",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4977,"0603758N","Navy Warfighting Experiments and Demonstrations",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
4979,"0305199D8Z","Net Centricity",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4980,"0303170K","Net-Centric Enterprise Services (NCES)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
4981,"0305221F","Network-Centric Collaborative Targeting",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,4330,,,,
4982,"0603766E","Network-Centric Warfare Technology",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4983,"0603662D8Z","Networked Communications Capabilities",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
4984,"0604558N","New Design SSN",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4985,"0605221F","KC-46",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
4986,"0604015F","Long Range Strike",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
4988,"0604274N","Next Generation Jammer (NGJ)",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
4989,"0603015A","Next Generation Training & Simulation Systems",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4990,"0101314F","Night Fist - USSTRATCOM",7,"Operational Systems Development",3600,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
4991,"0603710A","Night Vision Advanced Technology",3,"Advanced Technology Development",2040,,2011,"CR.OCO",,,,,0,,,,
4992,"0604710A","Night Vision Systems - Eng Dev",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4993,"0603774A","Night Vision Systems Advanced Development",4,"Advanced Component Development & Prototypes",2040,,2011,"CR.OCO",,,,,0,,,,
4994,"0602709A","Night Vision Technology",2,"Applied Research",2040,,2011,"CR.OCO",,,,,0,,,,
4995,"0603851M","Joint Non-Lethal Weapons Testing",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
4997,"0604646A","Non-Line of Sight Launch System",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
4998,"0604715A","Non-System Training Devices - Eng Dev",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
5000,"0603161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E ADC&P",4,"Advanced Component Development And Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
5001,"0604161D8Z","Nuclear and Conventional Physical Security Equipment RDT&E SDD",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
5002,"0604870A","Nuclear Arms Control Monitoring Sensor Network",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
5003,"0605161D8Z","Nuclear Matters-Physical Security",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
5005,"0604222F","Nuclear Weapons Support",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
5007,"0305913F","NUDET Detection System (SPACE)",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5009,"0603713N","Ocean Engineering Technology Development",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
5010,"0602435N","Ocean Warfighting Environment Applied Research",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
5012,"0205675N","Operational Nuclear Power Systems",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
5013,"0401314F","Operational Support Airlift",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5014,"0605814OTE","Operational Test Activities and Analyses",6,"Management Support",460,,2011,"CR.OCO",,,,,0,,,,
5016,"0605118OTE","Operational Test and Evaluation",6,"Management Support",460,,2011,"CR.OCO",,,,,0,,,,
5017,"0605865N","Operational Test and Evaluation Capability",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
5019,"0604857F","Operationally Responsive Space",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
5020,"1160426BB","Operations Advanced Seal Delivery System (ASDS) Development",7,"Operational Systems Development",400,,2011,"CR.OCO",,,,,0,,,,
5021,"0804743F","Other Flight Training",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5022,"0604212N","Other Helo Development",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
5023,"0203802A","Other Missile Product Improvement Programs",7,"Operational Systems Development",2040,,2011,"CR.OCO",,,,,0,,,,
5024,"0808716F","Other Personnel Activities",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5029,"0605027D8Z","OUSD(C) IT Development Initiatives",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
5030,"0605147T","Overseas Humanitarian Assistance Shared Information System (OHASIS)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
5031,"0604221N","P-3 Modernization Program",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
5032,"0605127T","Regional International Outreach (RIO) and Partnership for Peace Information Mana",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
5037,"0604869A","Patriot/MEADS Combined Aggregate Program (CAP)",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
5039,"0901585C","Pentagon Reservation",6,"RDT&E Management Support",400,,2011,"CR.OCO",,,,,0,,,,
5040,"0901220F","Personnel Administration",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5044,"0604703N","Personnel, Training, Simulation, and Human Factors",5,"System Development & Demonstration",1319,,2011,"CR.OCO",,,,,0,,,,
5045,"0604287F","Physical Security Equipment",5,"System Development & Demonstration",3600,,2011,"CR.OCO",,,,,0,,,,
5047,"0603287F","Physical Security Equipment",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
5048,"0603525N","PILOT FISH",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
5051,"0603432F","Polar MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
5052,"0305186D8Z","Policy R&D Programs",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
5055,"0603859F","Pollution Prevention - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
5056,"0604778A","Positioning Systems Development (SPACE)",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
5057,"0603114N","Power Projection Advanced Technology",3,"Advanced Technology Development",1319,,2011,"CR.OCO",,,,,0,,,,
5058,"0602114N","Power Projection Applied Research",2,"Applied Research",1319,,2011,"CR.OCO",,,,,0,,,,
5060,"0207249F","Precision Attack Systems Procurement",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5062,"0604659N","Precision Strike Weapons Development Program",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
5063,"0305219F","MQ-1 Predator A UAV",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5066,"0605801A","Programwide Activities",6,"RDT&E Management Support",2040,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
5067,"0604165D8Z","Prompt Global Strike Capability Development",5,"System Development And Demonstration",400,,2011,"CR.OCO",,,,,0,,,,
5068,"0303135G","Public Key Infrastructure (PKI)",7,"Operational System Development",400,,2011,"CR.OCO",,,,,0,,,,
5069,"0603826D8Z","Quick Reaction Special Projects",3,"Advanced Technology Development",400,,2011,"CR.OCO",,,,,0,,,,
5072,"0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation",6,"Management Support",400,,2011,"CR.OCO",,,,,0,,,,
5073,"0604820A","Radar Development",5,"System Development & Demonstration",2040,,2011,"CR.OCO",,,,,0,,,,
5074,"0603542N","Radiological Control",4,"Advanced Component Development & Prototypes",1319,,2011,"CR.OCO",,,,,0,,,,
5077,"0605103A","Rand Arroyo Center",6,"RDT&E Management Support",2040,,2011,"CR.OCO",,,,,0,,,,
5078,"0605101F","RAND Project Air Force",6,"Management Support",3600,,2011,"CR.OCO",,,,,0,,,,
5079,"0203761N","Rapid Technology Transition (RTT)",7,"Operational Systems Development",1319,,2011,"CR.OCO",,,,,0,,,,
5082,"0605861N","RDT&E Science and Technology Management",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
5083,"0605863N","RDT&E Ship and Aircraft Support",6,"Management Support",1319,,2011,"CR.OCO",,,,,0,,,,
5087,"0605017D8Z","Reduction of Total Ownership Cost",4,"Advanced Component Development & Prototypes",400,,2011,"CR.OCO",,,,,0,,,,
5088,"0603906C","Regarding Trench",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
5089,"0102326F","Region/Sector Operation Control Center Modernization Program",7,"Operational Systems Development",3600,,2011,"CR.OCO",,,,,0,,,,
5090,"0604337F","Requirements Analysis and Maturation",4,"Advanced Component Development & Prototypes",3600,,2011,"CR.OCO",,,,,0,,,,
5091,"0603751N","RETRACT ELM",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
5092,"0603536N","RETRACT JUNIPER",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
5093,"0603527D8Z","RETRACT LARCH",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2011,"CR.OCO",,,,,0,,,,
